Bedrooms,Number of people,House area (sq yards),is_AC ,is_TV ,Number of Fans,is_energy-efficient appliances ,is_renewable energy sources,washing machine usage ,Number of electronic devices,Electricity bill
2,6,80,Yes,Yes,4,Yes,No,Less than 5 times,More than 5,20711
3,6,250,Yes,Yes,7,Yes,Yes,About 5 to 10 times,More than 5,35110
2,3,70,Yes,Yes,4,No,No,I do not have a washing machine,Less than 5,9500
5,7,240,Yes,Yes,10,No,No,Less than 5 times,More than 5,45000
2,5,90,Yes,Yes,3,Yes,No,Less than 5 times,More than 5,9077
1,5,60,Yes,No,3,Yes,No,Less than 5 times,Less than 5,5077
3,6,120,No,No,6,Yes,No,About 5 to 10 times,More than 5,8771
2,4,120,No,Yes,3,Yes,No,Less than 5 times,Less than 5,8343
3,6,120,No,Yes,4,Yes,No,Less than 5 times,Less than 5,13342
2,5,100,Yes,No,1,Yes,No,Less than 5 times,Less than 5,26897
10,8,490,Yes,Yes,10,Yes,No,About 5 to 10 times,More than 5,45022
2,4,120,No,Yes,5,Yes,Yes,Less than 5 times,Less than 5,8000
5,5,140,No,Yes,6,Yes,No,Less than 5 times,Less than 5,9000
2,2,90,Yes,Yes,3,No,No,I do not have a washing machine,Less than 5,13450
3,7,150,Yes,Yes,5,Yes,No,About 5 to 10 times,Less than 5,12000
3,5,160,No,Yes,4,Yes,No,About 5 to 10 times,Less than 5,9000
2,3,120,Yes,Yes,5,Yes,No,About 5 to 10 times,Less than 5,8000
3,6,200,Yes,Yes,7,Yes,No,I do not have a washing machine,More than 5,27000
2,6,100,Yes,No,2,Yes,No,Less than 5 times,More than 5,8000
3,5,100,Yes,No,4,Yes,No,About 5 to 10 times,More than 5,12000
2,6,80,Yes,No,3,Yes,No,About 5 to 10 times,More than 5,9000
3,5,160,No,Yes,5,Yes,No,About 5 to 10 times,Less than 5,14000
4,7,150,Yes,Yes,6,Yes,Yes,More than 10 times,More than 5,40000
2,3,120,Yes,Yes,5,Yes,No,About 5 to 10 times,Less than 5,8001
3,6,160,Yes,Yes,6,Yes,No,I do not have a washing machine,Less than 5,9000
2,5,100,Yes,No,3,Yes,No,About 5 to 10 times,Less than 5,8234
3,5,120,Yes,Yes,5,Yes,Yes,About 5 to 10 times,More than 5,15000
2,5,80,Yes,Yes,4,Yes,No,Less than 5 times,More than 5,12000
3,6,160,No,No,6,Yes,No,I do not have a washing machine,Less than 5,13000
4,7,180,Yes,Yes,6,Yes,No,About 5 to 10 times,More than 5,22000
2,4,80,Yes,No,2,Yes,Yes,About 5 to 10 times,Less than 5,9345
3,5,100,No,Yes,3,Yes,No,I do not have a washing machine,Less than 5,8000
2,5,120,Yes,No,2,Yes,No,About 5 to 10 times,Less than 5,9000
3,6,160,No,Yes,3,Yes,No,About 5 to 10 times,More than 5,11000
2,5,80,Yes,Yes,3,Yes,No,About 5 to 10 times,More than 5,9500
3,5,120,No,No,4,Yes,No,Less than 5 times,Less than 5,9000
2,3,80,No,No,3,Yes,No,I do not have a washing machine,Less than 5,9000
3,5,100,No,Yes,4,Yes,No,Less than 5 times,Less than 5,12000
2,4,80,Yes,Yes,3,Yes,No,Less than 5 times,Less than 5,8000
3,6,120,No,No,4,Yes,No,Less than 5 times,Less than 5,9000
2,5,80,No,Yes,3,Yes,No,About 5 to 10 times,More than 5,9500
3,6,100,Yes,Yes,4,Yes,No,Less than 5 times,More than 5,11896
2,4,60,Yes,Yes,2,Yes,No,About 5 to 10 times,Less than 5,8000
3,5,100,Yes,No,4,Yes,No,About 5 to 10 times,Less than 5,12000
2,3,80,No,No,3,Yes,No,Less than 5 times,Less than 5,9000
